rank,brandName,isPb,goodsName,salePrice,originalPrice,flagList,totalComment,numOfReviews,pctOf5,pctOf4,pctOf3,pctOf2,pctOf1,pakingGood,pakingMiddle,pakingBad,expLong,expMiddle,expShort,tasteGood,tasteMiddle,tasteBad
34,빼바,0,[2+1/제로슈가] 빼바 리얼초콜릿 프로틴바 40g 1BOX(9개입) (다크/화이트/쿠키앤크림),"28,500","28,500","['2+1', '증정', '오늘드림']",최고,"25,448",90,7,2,0,0,73,24,3,68,32,1,82,18,1
35,딜라이트 프로젝트,1,딜라이트 프로젝트 베이글칩 8종 택1 (민화 Edition),"2,430","2,700","['2+1', '쿠폰', '오늘드림']",최고,"5,085",93,5,2,0,0,79,21,1,74,26,1,82,18,1
36,딜라이트 프로젝트,1,딜라이트 프로젝트 명인 부각 단품/세트 8종 택1,"3,330","3,500","['2+1', '쿠폰', '오늘드림']",최고,"47,464",88,8,3,0,0,74,26,1,65,35,0,78,22,1
37,더단백,0,"빙그레 더단백 팝칩 3종(군옥수수, 매콤살사, 허니갈릭) 택 1","2,500","2,500","['2+1', '오늘드림']",최고,"30,744",90,7,2,0,0,72,28,0,68,32,0,77,23,1
38,티젠,0,[7월 올영픽] 티젠 콤부차 파인애플/샤인머스켓/청귤라임 10T 기획 (+2T) (산리오) (2507),"3,750","7,500","['세일', '쿠폰', '오늘드림']",최고,"63,311",87,9,3,0,0,70,30,0,70,30,0,74,26,0
39,글루어트,0,[7월 올영픽/고함량 애사비] 글루어트 애플사이다비니거 7종 택 1 (단품/기획),"8,900","13,900","['세일', '쿠폰', '오늘드림']",최고,"4,884",91,5,3,1,0,100,0,0,100,0,0,67,33,0
40,플라이밀,0,[7월 올영픽] 플라이밀 단백질쉐이크 초코맛 45g,"3,900","3,900","['2+1', '오늘드림']",최고,"1,090",87,8,4,1,1,69,31,1,68,32,0,65,32,3
41,플라이밀,0,[7월 올영픽] 플라이밀 단백질쉐이크 브라운 곡물맛 45g,"3,900","3,900","['2+1', '오늘드림']",최고,897,88,9,3,0,0,66,34,0,64,36,0,64,36,1
42,봄날엔,0,봄날엔 초코퐁당 요거꿀떡 6입,"15,000","15,000",[],최고,388,87,6,4,2,2,0,0,0,0,0,0,0,0,0
43,플라이밀,0,[무료배송] 플라이밀 단백질 쉐이크 대용량 630g (9종),"25,900","33,900",['쿠폰'],최고,"1,958",86,10,3,1,1,78,22,1,76,24,0,78,22,1
44,압타밀,0,압타밀 프로푸트라 듀오어드밴스 4종 중 택1 (1~3단계),"47,500","47,500",[],최고,790,92,7,1,0,0,78,22,1,72,28,1,80,20,0
45,디다,0,디다 디다샷 14포 (2주분),"28,900","29,800","['세일', '오늘드림']",최고,295,87,8,3,1,0,78,22,1,77,23,0,73,25,2
46,딜라이트 프로젝트,1,딜라이트 프로젝트 베이글칩 모음전,"2,430","2,700","['2+1', '쿠폰', '오늘드림']",최고,"30,168",91,6,2,0,0,74,26,1,66,34,1,78,22,1
47,딜라이트 프로젝트,1,[신상출시] 딜라이트 프로젝트 곤약워터젤리 단품/10개입 12종 택1,"1,900","1,900","['1+1', '오늘드림']",최고,"32,498",90,7,2,0,0,71,29,0,66,34,0,74,26,1
48,오설록,0,오설록 웨하스 종합세트 (녹차2개+얼그레이2개) (쇼핑백 포함),"24,000","24,000",[],최고,22,73,18,9,0,0,95,5,0,77,23,0,73,27,0
49,플라이밀,0,[7월 올영픽] 플라이밀 단백질쉐이크 블랙 흑임자맛 45g,"3,900","3,900","['2+1', '오늘드림']",최고,557,89,8,2,0,1,72,28,0,71,29,0,73,27,1
